time, patient_state_id, AirO2Fraction.k, DV   , Ecg.ecg               , EithaPressure.pressure, HRAdd.y, TotalCompliance       , arterial.pCO2     , arterial.pH       , arterial.pO2     , arterial.sO2     , arterialPressure.diastolic, arterialPressure.systolic, cShuntFrac, currentHeartReat.y, filter.y          , lungs.q_in[1].m_flow , lungs.q_in[1].p, lungs.volume       , tissueUnit[1].pH  , venous.pH
0.0 ,                2,            0.21, 850.0, -0.0002748944267857094,     10992.072130929664,    70.0, 1.0398211550100473e-15, 41.546122398843245, 7.386812883518944 , 88.28627994083722, 97.06214905685994,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2324062500000001 , 7.311116488019842 , 7.311077780763837
0.03,                2,            0.21, 850.0, -0.04492459935625689  ,     11174.250934521624,    70.0, 1.0398211550100473e-15, 41.54641073617821 , 7.386811083697116 , 88.27957514627235, 96.88741837861708,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2338125000000002 , 7.311153353280208 , 7.3110778214049725
0.06,                2,            0.21, 850.0, 0.09391620740844897   ,     11211.578210171487,    70.0, 1.0398211550100473e-15, 41.54689307559656 , 7.386807715687028 , 88.26847822969918, 96.72095479544579,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2352187500000004 , 7.311160160514283 , 7.311077648752853
0.09,                2,            0.21, 850.0, 0.12166789191415653   ,     11108.398117194476,    70.0, 1.0398211550100473e-15, 41.54752515610626 , 7.386803662130856 , 88.25370271697115, 96.56140992970013,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.000527816348463209 ,        101325.0, 0.23662500000000034, 7.31121047849906  , 7.311077805314737
0.12,                2,            0.21, 850.0, -0.06787181422117236  ,     10950.87169873243 ,    70.0, 1.0398211550100473e-15, 41.548313396182174, 7.386798660041767 , 88.23521555254513, 96.40844883586344,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.23803125000000008, 7.311275936644948 , 7.3110781199505945
0.15,                2,            0.21, 850.0, -0.1346330490728615   ,     10805.855715208367,    70.0, 1.0398211550100473e-15, 41.54925503158825 , 7.38679259642949  , 88.21315747620012, 96.26156143635986,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.23943749999999986, 7.311347153358043 , 7.311078532633124
0.18,                2,            0.21, 850.0, -0.0030806701129133   ,     14856.213251655689,    70.0, 1.0398211550100473e-15, 41.55034476638708 , 7.386785473350327 , 88.18767810175285, 96.12026451070224,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24084374999999952, 7.311419431909135 , 7.311079009695469
0.21,                2,            0.21, 850.0, 0.0012164285168564386 ,     16677.05478216168 ,    70.0, 1.0398211550100473e-15, 41.55158064031805 , 7.3867771775491065, 88.15890184664666, 95.98414253222462,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.2422499999999994 , 7.311481718514351 , 7.311079456109479
0.24,                2,            0.21, 850.0, 0.0018454591266702076 ,     16283.544916538813,    70.0, 1.0398211550100473e-15, 41.55295798540071 , 7.386767725546622 , 88.12695744461027, 95.8528055223932 ,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24365624999999907, 7.311529132774416 , 7.311079830558828
0.27,                2,            0.21, 850.0, 0.004579309802242827  ,     15079.675181818267,    70.0, 1.0398211550100473e-15, 41.55446742444875 , 7.386757312337216 , 88.09200571398665, 95.72584938020474,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24506249999999885, 7.3115727651995694, 7.311080212489927
0.3 ,                2,            0.21, 850.0, 0.013065187102271808  ,     14000.890445933357,    70.0, 1.0398211550100473e-15, 41.5560995768939  , 7.386746156050329 , 88.05419603152946, 95.60291156284099,          81.80023769930702,         81.80023769930702,       86.0, 143.46724457731534, 14.999999999999996, 0.0005278163484632091,        101325.0, 0.24646874999999846, 7.311622734000673 , 7.311080679817974
