time, patient_state_id, AirO2Fraction.k, DV   , Ecg.ecg               , EithaPressure.pressure, HRAdd.y, TotalCompliance       , arterial.pCO2     , arterial.pH       , arterial.pO2     , arterial.sO2     , arterialPressure.diastolic, arterialPressure.systolic, cShuntFrac, currentHeartReat.y, filter.y, lungs.q_in[1].m_flow , lungs.q_in[1].p, lungs.volume       , tissueUnit[1].pH , venous.pH
0.0 ,                0,            0.21, 150.0, -0.0002748944267857094,     10992.072130929664,     0.0, 6.2389269300602835e-15, 41.54601342424059 , 7.386813638182834 , 88.28859643286061, 97.24980453762375,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23227627627627626, 7.311116490125942, 7.311077780765383
0.03,                0,            0.21, 150.0, -0.04492459935625689  ,     11174.250934521624,     0.0, 6.2389269300602835e-15, 41.5459792375735  , 7.386814144549044 , 88.28873012607293, 97.25394124350593,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23355255255255253, 7.311162674749597, 7.311077890952251
0.06,                0,            0.21, 150.0, 0.09391620740844897   ,     11211.578210171487,     0.0, 6.2389269300602835e-15, 41.54592410880801 , 7.386814830781563 , 88.28895757598221, 97.25808786451816,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23482882882882877, 7.311213203151935, 7.311078070289935
0.09,                0,            0.21, 150.0, 0.12166789191415653   ,     11108.398117194476,     0.0, 6.2389269300602835e-15, 41.54584895179857 , 7.386815672690521 , 88.28927724521272, 97.26226404865496,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23610510510510513, 7.31126589542665 , 7.311078304403764
0.12,                0,            0.21, 150.0, -0.06787181422117236  ,     10950.87169873243 ,     0.0, 6.2389269300602835e-15, 41.545753378058386, 7.3868167032000915, 88.2896924499043 , 97.26641286035768,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23738138138138137, 7.311324349416355, 7.311078623575305
0.15,                0,            0.21, 150.0, -0.1346330490728615   ,     10805.855715208367,     0.0, 6.2389269300602835e-15, 41.545635962894835, 7.386818000874392 , 88.29021049603783, 97.27057748703224,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23865765765765787, 7.31139689569339 , 7.311079101403944
0.18,                0,            0.21, 150.0, -0.0030806701129133   ,     14856.213251655689,     0.0, 6.2389269300602835e-15, 41.54549953332817 , 7.38681945894618  , 88.29082007134748, 97.27466504075443,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.23993393393393425, 7.311472328976286, 7.311079658263709
0.21,                0,            0.21, 150.0, 0.0012164285168564386 ,     16677.05478216168 ,     0.0, 6.2389269300602835e-15, 41.545345047112185, 7.386821050060498 , 88.291519198245  , 97.27874941987855,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.24121021021021052, 7.311548640617539, 7.311080285545552
0.24,                0,            0.21, 150.0, 0.0018454591266702076 ,     16283.544916538813,     0.0, 6.2389269300602835e-15, 41.545173257905105, 7.386822758080356 , 88.29230522100187, 97.28280941883936,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.24248648648648696, 7.311623759184959, 7.311080959642431
0.27,                0,            0.21, 150.0, 0.004579309802242827  ,     15079.675181818267,     0.0, 6.2389269300602835e-15, 41.54498454324445 , 7.386824581347841 , 88.2931786960578 , 97.28689043970992,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.2437627627627632 , 7.311697970304738, 7.311081684475997
0.3 ,                0,            0.21, 150.0, 0.013065187102271808  ,     14000.890445933357,     0.0, 6.2389269300602835e-15, 41.54477926851263 , 7.386826518919307 , 88.29413912586014, 97.29092781087088,          81.80023769930702,         81.80023769930702,        2.0,  73.46724457731536,     17.0, 0.0004790325217950582,        101325.0, 0.24503903903903967, 7.311771421424471, 7.311082460615706
